0	0.122348
1	0.118796
2	0.116545
3	0.113944
4	0.112644
5	0.110996
6	0.108999
7	0.107096
8	0.106492
9	0.105541
10	0.104241
11	0.103034
12	0.101479
13	0.100017
14	0.0986486
15	0.0972552
16	0.0971619
17	0.0967202
18	0.0959301
19	0.0952334
20	0.0941884
21	0.0932367
22	0.0923783
23	0.0914949
24	0.0902632
25	0.0891248
26	0.0880797
27	0.0870096
28	0.0860329
29	0.0850312
30	0.0840044
31	0.0829844
32	0.0899068
33	0.0947011
34	0.0973672
35	0.100603
36	0.101712
37	0.10339
38	0.105639
39	0.107734
40	0.107702
41	0.10824
42	0.109348
43	0.110303
44	0.111829
45	0.113202
46	0.114422
47	0.115683
48	0.114816
49	0.114519
50	0.114792
51	0.114912
52	0.115603
53	0.116141
54	0.116526
55	0.116952
56	0.117948
57	0.118792
58	0.119482
59	0.120214
60	0.120793
61	0.121413
62	0.122073
63	0.122723
64	0.111099
65	0.102764
66	0.0977171
67	0.0917893
68	0.0891503
69	0.0856301
70	0.0812286
71	0.0770633
72	0.0761867
73	0.0744289
74	0.0717899
75	0.069387
76	0.0661029
77	0.0630549
78	0.060243
79	0.0573679
80	0.132854
81	0.187344
82	0.220836
83	0.259955
84	0.278077
85	0.301825
86	0.331199
87	0.359065
88	0.636186
89	0.84652
90	0.990066
91	1.15151
92	0.746866
93	0.493906
94	0.392628
95	0.250706
96	0.32853
97	0.347474
98	0.307536
99	0.283376
100	0.200335
101	0.133072
102	0.0815849
103	0.0258707
104	0.0277382
105	0.0141767
106	-0.0148137
107	-0.03967
108	-0.0799552
109	-0.116106
110	-0.148123
111	-0.181248
112	-0.0973963
113	-0.0448884
114	-0.0237242
115	0.0058385
116	0.00405754
117	0.0106751
118	0.0256911
119	0.0384568
120	0.0198788
121	0.00969938
122	0.00791842
123	0.00388708
124	0.00825426
125	0.0103711
126	0.0102375
127	0.0107069
128	0.0270511
129	0.0391417
130	0.0469786
131	0.0559553
132	0.0606783
133	0.0665412
134	0.0735437
135	0.0802409
136	0.0826844
137	0.0862677
138	0.0909908
139	0.0954084
140	0.100966
141	0.106218
142	0.111164
143	0.116193
144	0.116968
145	0.118882
146	0.121937
147	0.124686
148	0.128574
149	0.132158
150	0.135435
151	0.138795
152	0.143295
153	0.147489
154	0.151377
155	0.155348
156	0.159013
157	0.16276
158	0.166589
159	0.170396
160	0.156095
161	0.146646
162	0.142049
163	0.136152
164	0.135107
165	0.132762
166	0.129117
167	0.12582
168	0.127375
169	0.12763
170	0.126585
171	0.125888
172	0.123892
173	0.122243
174	0.120943
175	0.11955
176	0.123008
177	0.125167
178	0.126025
179	0.127232
180	0.127138
181	0.127393
182	0.127997
183	0.128507
184	0.127717
185	0.127275
186	0.127182
187	0.126995
188	0.127157
189	0.127225
190	0.1272
191	0.1272
192	0.1272
193	0.1272
194	0.1272
195	0.1272
196	0.1272
197	0.1272
198	0.1272
199	0.1272
200	0.1272
201	0.1272
202	0.1272
203	0.1272
204	0.1272
205	0.1272
206	0.1272
207	0.1272
208	0.1272
209	0.1272
210	0.1272
211	0.1272
212	0.1272
213	0.1272
214	0.1272
215	0.1272
216	0.1272
217	0.1272
218	0.1272
219	0.1272
220	0.1272
221	0.1272
222	0.1272
223	0.1272
224	0.1272
225	0.1272
226	0.1272
227	0.1272
228	0.1272
229	0.1272
230	0.1272
231	0.1272
232	0.1272
233	0.1272
234	0.1272
235	0.1272
236	0.1272
237	0.1272
238	0.1272
239	0.1272
240	0.1272
241	0.1272
242	0.1272
243	0.1272
244	0.1272
245	0.1272
246	0.1272
247	0.1272
248	0.1272
249	0.1272
250	0.1272
251	0.1272
252	0.1272
253	0.1272
254	0.1272
255	0.1272
